OID_;Landslide;LONGITUDE;LATITUDE;DTM_merged;slope;LULC;profile_curvature;plan_curvature;dist_acc_road;dist_river;NDVI;rain;aspect
1045;1;74170;86836;272,8056183;12,14836502;8;-0,347174391;-0,197772697;116,6190414;298,7616119;0,525593074;68,57514191;3
1046;1;77435;77609;281,1437378;23,82146072;5;0,359606966;-0,450330094;201,4671173;240,8526459;0,373170702;70,60960388;3
1047;1;77392;77352;261,3212585;9,012037277;2;0,926117152;-0,445291281;70,21395874;203,618515;0,422075138;70,60960388;4
1048;1;79765;101829;241,242897;8,725870132;8;1,713024795;-0,086424086;74,63243103;62,20931625;0,460002555;68,84999847;3
1049;1;91595;65147;236,0835953;12,37700081;2;0,610284686;-0,3516545;9,949747562;108,399704;0,528874793;67,5437851;2
1050;1;91642;65534;263,8037567;29,13978195;2;-0,940471083;-0,168482371;12,72792244;54,49307442;0,556324303;67,5437851;4
1051;1;92697;61545;222,7862473;11,42189598;4;-0,311345413;0,032670256;242,3602676;350,1835175;0,451065;66,84067535;4
1052;1;92285;59591;257,6527252;17,51305389;2;-1,423058033;-0,004090063;53,50692749;115,3928032;0,571907093;66,84067535;2
1053;1;87196;67849;258,3374939;20,8146801;2;-1,353469849;0,189304784;8,744137764;49,87481308;0,484310794;68,48262787;9
1054;1;95743;74605;156,0446701;20,56742477;2;-0,30934374;0,444504291;4,357388258;9,219544411;0,446546267;66,44816589;6
1055;1;81852;96397;369,8772888;14,22068214;2;0,107377898;-0,167695105;4;26,97216797;0,476080348;69,44378662;7
1056;1;63444;82818;265,2666168;7,397254467;2;-0,354451358;-0,119488321;6,082762718;9,219544411;0,464159974;75,44181061;2
1057;1;98750;86308;218,6254044;24,22181129;4;-1,204500735;0,296942323;7,280109882;44,41283607;0,453392526;67,5172348;4
1058;1;82828;94779;330,9952545;19,50094032;2;-1,000836372;-0,996041864;13,09567547;567,7614136;0,544822271;70,0789566;5
1059;1;92928;59298;232,7308121;18,63067436;2;-0,341528354;0,410466701;15,5883255;40,31128693;0,480522346;66,84067535;2
1060;1;92410;61349;240,5087433;20,38120651;4;0,100841299;0,14018492;205,4592361;233,5947266;0,483995775;66,84067535;4
1061;1;69900;127955;395,4312439;29,43784904;2;-0,076309807;0,338305719;13,43501568;108,2427826;0,409232225;78,90211487;2
1062;1;74075;101743;281,9862366;8,881381035;5;4,71063E-06;0,238346592;159,260788;237,4436798;0,36164693;67,91539764;5
1063;1;77211;76786;250,5235672;30,1211853;5;-0,531829953;-0,817215234;39,45883942;83,8629837;0,436276305;70,60960388;3
1064;1;78319;75366;253,4660721;38,27190399;5;3,574406862;0,00853598;58,10765076;77,6208725;0,317845173;70,72486115;8
1065;1;77862;79352;258,3775024;10,421175;5;0,386513293;0,181780562;299,1145172;91,61329269;0,356845051;70,60960388;8
1066;1;95966;96157;221,7601242;17,88560867;2;0,394431114;-0,791548401;35,35533905;80,41144562;0,535452912;66,47146606;4
1067;1;64479;106547;379,5174866;4,106725693;2;0,256671861;0,264841959;4,123105526;208,8719254;0,369195099;76,68276978;2
1068;1;85082;79334;335,5924377;5,653055668;5;-0,01931575;-0,028397289;99,28242493;158,4329529;0,375340063;70,71172333;6
1069;1;63291;64982;348,7133484;3,524744272;5;0,113487385;-0,279475622;13;857,0314941;0,293097417;77,987854;3
1070;1;79132;117022;0;0;0;0;0;0;0;0;0;0
1071;1;91793;65667;258,8087463;18,85684967;4;0,073709142;-0,192638494;88;143,253273;0,442653795;67,5437851;3
1072;1;77869;75123;264,136261;2,196479082;5;-0,009664086;-0,056765161;4;59,20304108;0,428912785;70,72486115;2
1073;1;83605;97212;278,0405884;3,327456474;5;0,06470084;-0,059862176;86,40023041;84,99996948;0,349684907;69,63050842;7
1074;1;96781;74553;0;0;0;0;0;0;0;0;0;0
1075;1;98312;77878;218,6212463;9,965348244;4;0,347304434;-0,193990387;369,3737946;692,5074158;0,419627035;67,25847626;4
1076;1;92989;63595;229,8000031;19,38850594;4;0,41707474;0,466160834;421,9217834;258,0523224;0,487768604;65,64237213;8
1077;1;75040;98374;246,0687485;22,41472626;8;-0,143651657;-0,260096282;170,4494019;231,2131042;0,351361841;67,96497345;7
1078;1;80001;101554;250,3438797;24,98721695;2;2,79031837;-0,650815338;26,92582321;26,68332863;0,335162003;68,95960236;1
1079;1;74349;84177;250,655899;8,640367508;2;-0,371319577;-0,125513453;4,061552763;70,24955368;0,305568268;70,2100296;3
1080;1;75520;76868;270,6416168;9,949468613;5;-0,153095685;0,004810816;151,8996277;336,4037781;0,433237021;71,1490097;1
1081;1;61630;107867;329,9075012;1,357864141;2;-0,043360949;0,000664794;13;146,1762619;0,289632365;77,92923737;3
1082;1;87043;90085;287,0512543;12,52634621;5;-0,690591276;0,223345265;20,30991364;57,31055641;0,347613757;67,68489075;8
1083;1;103256;93668;227,010704;44,10160446;2;-1,014284432;0,11044045;143,8384552;12,04159451;0,49551177;68,57118988;3
1084;1;89889;81505;236,9812469;1,667398095;5;0,191815063;0,155108653;100,2646484;51,72519684;0,386107579;66,67485809;7
1085;1;65538;92814;274,5301209;13,20734882;4;-0,498796076;0,087340739;192,8017044;117,9300613;0,461574297;69,43008423;9
1086;1;73919;79462;375,8724976;1,655486107;5;0,070650399;-0,082604229;4,472136021;240,6885986;0,31819759;71,1490097;6
1087;1;67194;85525;299,4420166;14,92529583;2;-0,422190309;-0,136439696;237,2793732;101,1657028;0,438669807;73,94590759;9
1088;1;64531;84609;333,7954559;4,853952885;2;0,126854565;-0,2376706;325,9769897;414,4363709;0,40834614;75,44181061;5
1089;1;64318;84569;342,1412506;4,921737671;4;0,047864584;0,040472422;341,2755432;508,4515686;0,378825224;75,44181061;4
1090;1;65557;93522;288,3374939;1,810512424;4;0,098777667;-0,060261019;486,5172119;371,263382;0,347034885;69,43008423;4
1091;1;64913;93274;276,5031738;7,139091492;4;0,908199251;-0,938764125;126,8463669;133,8095703;0,612284924;69,43008423;6
1092;1;100287;82993;133,342659;2,417880535;5;-0,170982808;-0,066765103;97,35757446;62,68173599;0,313727012;65,55169678;4
1093;1;63721;93045;275,0929108;3,942183733;2;-0,279253885;0,152562715;291,2825012;78,75912476;0,461902296;70,31610107;2
1094;1;66015;85389;328,780304;2,628781557;4;-0,132351622;-0,102600351;236,4751511;291,3614655;0,3895532;73,94590759;4
1095;1;79247;102983;227,2884064;34,21767426;5;1,373897672;-0,51303862;10,77032948;340,3351288;0,478581704;68,84999847;1
1096;1;63961;93517;278,2774963;2,986064911;4;0,007107713;0,257327221;180,1374359;391,2147827;0,462241409;70,31610107;6
1097;1;93713;74294;198,0076218;18,63677597;2;-0,784778625;0,444770783;7,615773201;54,56647301;0,418793222;66,58361816;2
1098;1;64588;92933;282,9587402;2,070178747;4;0,080230094;-0,017453908;336,2276001;156,3297806;0,467578989;70,31610107;3
1099;1;80185;103841;204,1447678;34,37359238;4;-4,097423434;0,703773603;26;102,002449;0,514144855;68,95960236;5
1100;1;80237;103847;206,5540771;18,77285004;4;-0,067066715;0,007521325;30,33965206;107;0,520417605;68,95960236;5
1101;1;85781;77429;305,0783691;19,12913513;4;-0,025122562;0,114912864;856,4645081;774,4940186;0,550443618;70,71172333;3
1102;1;69866;87562;359,6926727;6,808269978;4;-0,056804597;-0,165059775;658,4056396;131,2288055;0,445795903;71,01271057;2
1103;1;73653;80294;356,7741547;1,970620871;5;-0,003255189;-0,026646569;164,4384308;376,8308563;0,300782142;73,0399704;1
1104;1;81413;104175;204,8641357;28,85191536;4;-3,273215413;0,533089906;82,55601883;46,69047165;0,465151836;68,95960236;3
1105;1;95344;69297;0;0;0;0;0;0;0;0;0;0
1106;1;69354;123699;356,6200104;38,00453949;2;0,223773994;-1,018387705;12,08304596;55,49322128;0,269849428;76,32598877;6
1107;1;65266;85172;290,9584351;20,64158058;2;-0,27092877;0,217786163;51;228,8208847;0,326272855;73,94590759;1
1108;1;77873;76951;291,1449738;30,44791794;5;0,207135923;-0,343548745;8,062257767;418,742157;0,356712352;70,60960388;9
1109;1;67031;87782;341,1396179;26,05400276;2;-0,191890374;-0,140123591;8,944272041;712,5661316;0,36691601;71,81765747;9
1110;1;78297;77855;267,4866638;21,9370594;5;0,94582653;0,188354325;55,15432739;102,0832977;0,268443324;70,60960388;8
1111;1;74189;87123;292,7270355;27,99560165;2;-0,91786623;0,536748737;14,86606884;351,3986359;0,535279374;68,57514191;4
1112;1;75435;88445;234,1501541;10,97148037;4;-0,244996436;-0,262422368;101,6070862;136,8557663;0,466269635;68,57514191;8
1113;1;91197;64284;254,2287445;10,97381878;2;-0,823081762;1,525565386;758,4929199;78,54934692;0,602151591;67,5437851;5
1114;1;63277;108415;288,7558289;56,60637283;5;2,024973512;-1,606694341;4;48,80059242;0,259396489;76,68276978;2
1115;1;89695;90019;353,4150085;17,7686367;2;-0,632733196;-0,768532991;70;594,2297668;0,450290025;67,04166412;5
1116;1;75470;88603;242,8334427;9,12857914;4;-0,168714039;-0,035744606;217,0426178;120,3058586;0,526644256;68,57514191;6
1117;1;90732;94787;243,1662521;19,04803467;2;-1,09916085;0,470193431;24,75883675;58,13776779;0,434386565;67,34322357;2
1118;1;89793;94645;266,571991;31,31266403;2;-2,729729652;-0,098387171;10,81665421;184,4437637;0,522998301;67,34322357;8
1119;1;89638;95156;233,404068;39,82981491;2;-0,947070658;2,552719831;16,55294609;21,05940914;0,511821144;67,34322357;6
1120;1;75217;88798;233,6743698;14,95820522;4;-0,656714886;0,029506243;240,4100647;85,70297241;0,439959171;68,57514191;6
1121;1;91963;62676;226,8505554;6,112395287;2;-0,029124319;0,311068863;5;65,85969925;0,525086495;66,90536499;3
1122;1;91779;62973;241,9949722;19,00007057;2;0,836594999;0,715856999;18,3575592;95,60072708;0,565175089;67,5437851;2
1123;1;85307;103508;204,3921509;20,059412;2;-1,549084604;1,760786176;36,40055084;134,0410156;0,458934018;68,72090149;6
1124;1;86312;105099;262,4628143;19,02252007;2;0,029121126;-0,458774671;29,11182213;385,4497375;0,415361872;68,61073303;2
1125;1;87102;89796;291,9616699;29,30150795;2;-0,159707889;-1,361607373;17,20465088;45,25483322;0,539121223;67,68489075;6
1126;1;93511;65007;180,2032318;23,26262665;4;0,306708023;-0,39169766;131,7478638;439,2123718;0,562024748;65,64237213;3
1127;1;93386;66241;158,5299988;11,90468693;4;1,737293541;-0,705448031;63,58063698;211,7829132;0,437020766;65,64237213;3
1128;1;97447;75632;171,097496;18,53977966;4;-0,20773416;0,304431811;135,0592499;193,4993591;0,409165135;66,44816589;4
1129;1;89972;103671;0;0;0;0;0;0;0;0;0;0
1130;1;90261;94975;256,3251495;15,7823658;2;1,868204713;0,123939019;58,32650566;179,3516006;0,467626584;67,34322357;8
1131;1;75682;97713;216,4887466;15,81859303;2;-0,432033479;0,45380716;48,79549026;5;0,440379873;67,96497345;6
1132;1;90402;103084;0;0;0;0;0;0;0;0;0;0
1133;1;87195;89625;291,34375;4,273893356;2;-0,291301057;-0,040740477;6,708203793;23;0,526849983;67,68489075;7
1134;1;85257;103852;219,7669144;24,91010475;2;-0,325514376;0,448062375;106,5879898;173,4156799;0,423341916;68,72090149;7
1135;1;99159;82042;160,976265;27,87276077;4;-2,265865564;0,408615619;58,69829941;247,6449127;0,506325278;65,55169678;4
1136;1;98691;81663;180,5862503;9,168738365;8;-0,131802738;0,165108975;163,4044037;347,0007172;0,352781788;65,55169678;4
1137;1;98442;81033;160,6737518;10,20663834;2;-0,717286587;0,001752226;101,3582687;68,68041992;0,434550161;67,25847626;3
1138;1;94199;58791;0;0;0;0;0;0;0;0;0;0
1139;1;94297;58524;0;0;0;0;0;0;0;0;0;0
1140;1;79988;105215;346,6904449;14,27501202;2;-0,447486371;0,902705252;736,7638855;498,643158;0,570630499;69,23997498;2
1141;1;93562;101695;180,5324936;28,61266899;2;1,388473928;-0,231094904;45,89117432;145,6279449;0,605857043;67,9081955;8
